Tweet_Id,Datetime,Text,Likes,Retweets,Location
1598466350070267904,2022-12-01 23:57:30+00:00,"@calliechatter @sandibachom @SpiroAgnewGhost He used to wear Balenciaga, this looks like the masks, jackets, gloves they were doing, Kanye steals from other designers so it could be his rip off, Balenciaga cut ties with him.",2,0,"Salt Lake City , Utah"
1598466347901620226,2022-12-01 23:57:30+00:00,I don’t know how much Balenciaga paid Kanye to say that but I hope it was worth it… Idiot🤦🏿‍♂️🤦🏿‍♂️,0,0,North London
1598466334790221825,2022-12-01 23:57:26+00:00,Baal distances self from Balenciaga https://t.co/v9tQZrbY6O,1,0,"Berlin, VT"
1598466332571619329,2022-12-01 23:57:26+00:00,I’m just finding out about what Balenciaga is and boy am I mad about it!,0,0,"Richmond, VA"
1598466306977812480,2022-12-01 23:57:20+00:00,"Celebs torched for silence on Balenciaga: 'These are cowards'

https://t.co/EIuGfUyWmZ",0,0,Toronto
1598466282403557376,2022-12-01 23:57:14+00:00,"Weird instagram no? Disgusting #Lotta 

#LottaVolkova #BalenciagaGate #Balenciaga https://t.co/xQgAlVmYm9",1,0,"Davos, Switzerland"
1598466265508900864,2022-12-01 23:57:10+00:00,@JackPosobiec Balenciaga going viral? Enter Kanye.,0,0,
1598466257996627968,2022-12-01 23:57:08+00:00,Lauren Burnham and Arie Luyendyk Jr. Burn Balenciaga Shoes https://t.co/El9dvM0ZIN,0,0,
1598466247511146496,2022-12-01 23:57:06+00:00,Wake Up -- Balenciaga Is What's Coming https://t.co/xLvJ37bphX,0,0,
1598466236006141952,2022-12-01 23:57:03+00:00,"@DellaRattaSue @KimKardashian kim support balenciaga, a pedo company; i think you may need some help",14,1,
1598466231606067201,2022-12-01 23:57:02+00:00,@samanthamarika1 Apple and Balenciaga are probably so happy right now.,0,0,
1598466214476779522,2022-12-01 23:56:58+00:00,"@hodgetwins Maybe he was going to a Balenciaga campaign after, who knows",0,0,
1598466202539790336,2022-12-01 23:56:55+00:00,@CitizenFreePres @ParleUSA Interesting. Just virtue signaling because Balenciaga already has your money,1,0,Clown world
1598466193765339137,2022-12-01 23:56:53+00:00,"@benshapiro I agree, he needs to be stopped before Balenciaga signs him as their ambassador.",0,0,"Sydney, New South Wales"
1598466192565760001,2022-12-01 23:56:53+00:00,"@Senpai_316 ""Especially Hitler, by Balenciaga""

Kanye was just advertising their new line of products",1,0,North of the wall
1598466178921467910,2022-12-01 23:56:49+00:00,"@BetteMidler I love your music, your charisma and your acting style, but Bette, please, please stop with the liberal crap. Find balance. We still need you. Balanced, not Balenciaga. Ffs",0,0,
1598466119299649536,2022-12-01 23:56:35+00:00,"@DJFreedomRocket Balenciaga is evil, but I don’t think that’s Latin",0,0,
