Tweet_Id,Datetime,Text,Likes,Retweets,Location,Cancel,Pedophilia,QAnon,Clean_tweets,Processed_tweets,Sentiment
1598466952309211136,2022-12-01 23:59:54+00:00,"If y’all are throwing out any Balenciaga, especially size L shirts or a size 12 for shoes, please bring it to me so I can dispose of it",2,0,"Los Angeles, CA",0,0,0,if y’all are throwing out any balenciaga especially size l shis or a size for shoes please bring it to me so i can dispose of it,y’all throwing especially size l shis size shoe please bring dispose,negative
1598466908008980480,2022-12-01 23:59:43+00:00,"#75 live at 8pm EST on this page. So many things to talk about including Balenciaga, climate change activism etc. https://t.co/tJkfjNvyKg",0,0,Montreal,0,0,0, live at est on this page so many things to talk about including balenciaga climate change activism etc httpstcotjkfjnvykg,live est page many thing talk including climate change activism etc httpstcotjkfjnvykg,neutral
1598466875947880448,2022-12-01 23:59:35+00:00,"@BaileyUnspoken @RealTalkPerson @KimKardashian @RealTristan13 But she literally ONLY wears balenciaga. If Balenciaga had done something less serious I could agree with you, but this is literal CHILD PORNOGRAPHY. The campaign would have had to be approved by so many people at Balenciaga. This involves the whole company.",0,0,Riverside Estates,0,0,0,    but she literally only wears balenciaga if balenciaga had done something less serious i could agree with you but this is literal child pornography the campaign would have had to be approved by so many people at balenciaga this involves the whole company,literally wear done something le serious could agree literal child pornography campaign would approved many people involves whole company,negative
1598466874303463426,2022-12-01 23:59:35+00:00,@kanyewest DEMNA! Lead Designer of Balenciaga! Get him out.,0,0,"Houston, TX",0,0,0, demna lead designer of balenciaga get him out,demna lead designer get,neutral
1598466848319750144,2022-12-01 23:59:29+00:00,Kanye out here burying Balenciaga news tired 😴,0,0,"Manchester, England",0,0,0,kanye out here burying balenciaga news tired 😴,kanye burying news tired 😴,negative
1598466846080262144,2022-12-01 23:59:28+00:00,Thank God I didn’t end up buying them balenciaga sneakers last year,0,0,Sydney / Nairobi / Harare,0,0,0,thank god i didn’t end up buying them balenciaga sneakers last year,thank god didn’t end buying sneaker last year,neutral
1598466840992579584,2022-12-01 23:59:27+00:00,@mmpadellan With the drama at Balenciaga and Democrats mad at Elon Musk removing pedo sights. It like the Democrats are trying to normalize pedophilia. I’m so disgusted right now!!,3,0,Other,0,1,0, with the drama at balenciaga and democrats mad at elon musk removing pedo sights it like the democrats are trying to normalize pedophilia i’m so disgusted right now,drama democrat mad elon musk removing pedo sight like democrat trying normalize pedophilia i’m disgusted right,negative
1598466839293599745,2022-12-01 23:59:27+00:00,@kanyewest We love Demna. He's not Balenciaga CEO.,0,0,Other,0,0,0, we love demna hes not balenciaga ceo,love demna he ceo,positive
1598466829797687298,2022-12-01 23:59:24+00:00,@vikare06 Looks like a balenciaga photo shoot,2,0,Hyde Park ,0,0,0, looks like a balenciaga photo shoot,look like photo shoot,neutral
1598466786244317184,2022-12-01 23:59:14+00:00,@DestinyVaughn @M4D3R0 @ksenijapavlovic @MikhailaFuller @BALENCIAGA @KimKardashian The photos are above,0,0,"New York, NY / Manahatta",0,0,0,      the photos are above,photo,neutral
1598466770121396224,2022-12-01 23:59:10+00:00,@nyetengale @born2shinez Aren’t these Balenciaga models?,0,0,Other,0,0,0,  aren’t these balenciaga models,aren’t model,neutral
1598466707957374976,2022-12-01 23:58:55+00:00,"I could careless about Kanye and his prerogative. If you’re more upset about Kanye, than you are at the fact 
WE STILL DONT KNOW WHO WAS ON EPSTEINS FLIGHT LOGS. 
ESPECIALLY after this Balenciaga Scandal.

Tells me you enjoy the orchestrated manufactured hype.",34,1,Other,0,0,0,i could careless about kanye and his prerogative if you’re more upset about kanye than you are at the fact we still dont know who was on epsteins flight logs especially after this balenciaga scandal tells me you enjoy the orchestrated manufactured hype,could careless kanye prerogative you’re upset kanye fact still dont know epstein flight log especially scandal tell enjoy orchestrated manufactured hype,negative
1598466699233484801,2022-12-01 23:58:53+00:00,after #balenciaga we need to bring attention to #hollywood,0,0,Chinafornia ,0,0,0,after balenciaga we need to bring attention to hollywood,need bring attention hollywood,neutral
1598466697220227072,2022-12-01 23:58:53+00:00,@_AlvinChristian @asv141 @balenciaga hire this man,2,0,Other,0,0,0,   hire this man,hire man,neutral
1598466669218861057,2022-12-01 23:58:46+00:00,Kim K standing behind Balenciaga absolutely SUCKS and is awful and money hungry… but why are we bringing Kanye into this? They’re both wrong. He just said he loves Hitler.,263,7,Other,0,0,0,kim k standing behind balenciaga absolutely sucks and is awful and money hungry… but why are we bringing kanye into this they’re both wrong he just said he loves hitler,kim k standing behind absolutely suck awful money hungry… bringing kanye they’re wrong said love hitler,negative
1598466666828292098,2022-12-01 23:58:46+00:00,@jackantonoff #Balenciaga distractions. https://t.co/NBEDpZFKqA,0,0,Other,0,0,0, balenciaga distractions httpstconbedpzfkqa,distraction httpstconbedpzfkqa,neutral
1598466648562077696,2022-12-01 23:58:41+00:00,@prime98704851 @Woundedsheepdog @_BarringtonII I didn’t say you did - was just asking how that cancels balenciagas bs 🤷‍♀️ the world is a crazy place,0,0,"Maine, USA",0,0,0,   i didn’t say you did  was just asking how that cancels balenciagas bs 🤷‍♀️ the world is a crazy place,didn’t say asking cancel balenciaga b 🤷‍♀️ world crazy place,negative
1598466632380485632,2022-12-01 23:58:37+00:00,Balenciaga. Terrible choice of advertisements and for that I’m out https://t.co/JvZAzq1nQv,1,0,Other,0,0,0,balenciaga terrible choice of adveisements and for that i’m out httpstco,terrible choice adveisements i’m httpstco,negative
